psgc_int,adm4_en
1303901580,Barangay 580
1303901581,Barangay 581
1303901582,Barangay 582
1303901583,Barangay 583
1303901584,Barangay 584
1303901585,Barangay 585
1303901586,Barangay 586
1303901587,Barangay 587
1303901588,Barangay 588
1303901589,Barangay 589
1303901590,Barangay 590
1303901591,Barangay 591
1303901592,Barangay 592
1303901593,Barangay 593
1303901594,Barangay 594
1303901595,Barangay 595
1303901596,Barangay 596
1303901597,Barangay 597
1303901598,Barangay 598
1303901599,Barangay 599
1303901600,Barangay 600
1303901601,Barangay 601
1303901602,Barangay 602
1303901603,Barangay 603
1303901604,Barangay 604
1303901605,Barangay 605
1303901606,Barangay 606
1303901607,Barangay 607
1303901608,Barangay 608
1303901609,Barangay 609
1303901610,Barangay 610
1303901611,Barangay 611
1303901612,Barangay 612
1303901613,Barangay 613
1303901614,Barangay 614
1303901615,Barangay 615
1303901616,Barangay 616
1303901617,Barangay 617
1303901618,Barangay 618
1303901619,Barangay 619
1303901620,Barangay 620
1303901621,Barangay 621
1303901622,Barangay 622
1303901623,Barangay 623
1303901624,Barangay 624
1303901625,Barangay 625
1303901626,Barangay 626
1303901627,Barangay 627
1303901628,Barangay 628
1303901629,Barangay 629
1303901630,Barangay 630
1303901631,Barangay 631
1303901632,Barangay 632
1303901633,Barangay 633
1303901634,Barangay 634
1303901635,Barangay 635
1303901636,Barangay 636
1303901637,Barangay 637
1303901638,Barangay 638
1303901639,Barangay 639
1303901640,Barangay 640
1303901641,Barangay 641
1303901642,Barangay 642
1303901643,Barangay 643
1303901644,Barangay 644
1303901645,Barangay 645
1303901646,Barangay 646
1303901647,Barangay 647
1303901648,Barangay 648
1303901649,Barangay 649
1303901650,Barangay 650
1303901651,Barangay 651
1303901652,Barangay 652
1303901653,Barangay 653
1303901654,Barangay 654
1303901655,Barangay 655
1303901656,Barangay 656
1303901657,Barangay 657
1303901658,Barangay 658
1303901659,Barangay 659
1303901660,Barangay 660
1303901661,Barangay 661
1303901662,Barangay 662
1303901663,Barangay 663
1303901664,Barangay 664
1303901666,Barangay 666
1303901667,Barangay 667
1303901668,Barangay 668
1303901669,Barangay 669
1303901670,Barangay 670
1303901671,Barangay 671
1303901672,Barangay 672
1303901673,Barangay 673
1303901674,Barangay 674
1303901675,Barangay 675
1303901676,Barangay 676
1303901677,Barangay 677
1303901678,Barangay 678
1303901679,Barangay 679
1303901680,Barangay 680
1303901681,Barangay 681
1303901682,Barangay 682
1303901683,Barangay 683
1303901684,Barangay 684
1303901685,Barangay 685
1303901686,Barangay 686
1303901687,Barangay 687
1303901688,Barangay 688
1303901689,Barangay 689
1303901690,Barangay 690
1303901691,Barangay 691
1303901692,Barangay 692
1303901693,Barangay 693
1303901694,Barangay 694
1303901695,Barangay 695
1303901696,Barangay 696
1303901697,Barangay 697
1303901698,Barangay 698
1303901699,Barangay 699
1303901700,Barangay 700
1303901701,Barangay 701
1303901702,Barangay 702
1303901703,Barangay 703
1303901704,Barangay 704
1303901705,Barangay 705
1303901706,Barangay 706
1303901707,Barangay 707
1303901708,Barangay 708
1303901709,Barangay 709
1303901710,Barangay 710
1303901711,Barangay 711
1303901712,Barangay 712
1303901713,Barangay 713
1303901714,Barangay 714
1303901715,Barangay 715
1303901716,Barangay 716
1303901717,Barangay 717
1303901718,Barangay 718
1303901719,Barangay 719
1303901720,Barangay 720
1303901721,Barangay 721
1303901722,Barangay 722
1303901723,Barangay 723
1303901724,Barangay 724
1303901725,Barangay 725
1303901726,Barangay 726
1303901727,Barangay 727
1303901728,Barangay 728
1303901729,Barangay 729
1303901730,Barangay 730
1303901731,Barangay 731
1303901732,Barangay 732
1303901733,Barangay 733
1303901734,Barangay 734
1303901735,Barangay 735
1303901736,Barangay 736
1303901737,Barangay 737
1303901738,Barangay 738
1303901739,Barangay 739
1303901740,Barangay 740
1303901741,Barangay 741
1303901742,Barangay 742
1303901743,Barangay 743
1303901744,Barangay 744
1303901745,Barangay 745
1303901746,Barangay 746
1303901747,Barangay 747
1303901748,Barangay 748
1303901749,Barangay 749
1303901750,Barangay 750
1303901751,Barangay 751
1303901752,Barangay 752
1303901753,Barangay 753
1303901754,Barangay 754
1303901755,Barangay 755
1303901756,Barangay 756
1303901757,Barangay 757
1303901758,Barangay 758
1303901759,Barangay 759
1303901760,Barangay 760
1303901761,Barangay 761
1303901762,Barangay 762
1303901763,Barangay 763
1303901764,Barangay 764
1303901765,Barangay 765
1303901766,Barangay 766
1303901767,Barangay 767
1303901768,Barangay 768
1303901769,Barangay 769
1303901770,Barangay 770
1303901771,Barangay 771
1303901772,Barangay 772
1303901773,Barangay 773
1303901774,Barangay 774
1303901775,Barangay 775
1303901776,Barangay 776
1303901777,Barangay 777
1303901778,Barangay 778
1303901779,Barangay 779
1303901780,Barangay 780
1303901781,Barangay 781
1303901782,Barangay 782
1303901783,Barangay 783
1303901784,Barangay 784
1303901785,Barangay 785
1303901786,Barangay 786
1303901787,Barangay 787
1303901788,Barangay 788
1303901789,Barangay 789
1303901790,Barangay 790
1303901791,Barangay 791
1303901792,Barangay 792
1303901793,Barangay 793
1303901794,Barangay 794
1303901795,Barangay 795
1303901796,Barangay 796
1303901797,Barangay 797
1303901798,Barangay 798
1303901799,Barangay 799
1303901800,Barangay 800
1303901801,Barangay 801
1303901802,Barangay 802
1303901803,Barangay 803
1303901804,Barangay 804
1303901805,Barangay 805
1303901806,Barangay 806
1303901807,Barangay 807
1303901808,Barangay 808
1303901809,Barangay 809
1303901810,Barangay 810
1303901811,Barangay 811
1303901812,Barangay 812
1303901813,Barangay 813
1303901814,Barangay 814
1303901815,Barangay 815
1303901816,Barangay 816
1303901817,Barangay 817
1303901818,Barangay 818
1303901819,Barangay 819
1303901820,Barangay 820
1303901821,Barangay 821
1303901822,Barangay 822
1303901823,Barangay 823
1303901824,Barangay 824
1303901825,Barangay 825
1303901826,Barangay 826
1303901827,Barangay 827
1303901828,Barangay 828
1303901829,Barangay 829
1303901830,Barangay 830
1303901831,Barangay 831
1303901832,Barangay 832
1303901833,Barangay 833
1303901834,Barangay 834
1303901835,Barangay 835
1303901836,Barangay 836
1303901837,Barangay 837
1303901838,Barangay 838
1303901839,Barangay 839
1303901840,Barangay 840
1303901841,Barangay 841
1303901842,Barangay 842
1303901843,Barangay 843
1303901844,Barangay 844
1303901845,Barangay 845
1303901846,Barangay 846
1303901847,Barangay 847
1303901848,Barangay 848
1303901849,Barangay 849
1303901850,Barangay 850
1303901851,Barangay 851
1303901852,Barangay 852
1303901853,Barangay 853
1303901855,Barangay 855
1303901856,Barangay 856
1303901857,Barangay 857
1303901858,Barangay 858
1303901859,Barangay 859
1303901860,Barangay 860
1303901861,Barangay 861
1303901862,Barangay 862
1303901863,Barangay 863
1303901864,Barangay 864
1303901865,Barangay 865
1303901866,Barangay 866
1303901867,Barangay 867
1303901868,Barangay 868
1303901869,Barangay 869
1303901870,Barangay 870
1303901871,Barangay 871
1303901872,Barangay 872
1303901873,Barangay 873
1303901874,Barangay 874
1303901875,Barangay 875
1303901876,Barangay 876
1303901877,Barangay 877
1303901878,Barangay 878
1303901879,Barangay 879
1303901880,Barangay 880
1303901881,Barangay 881
1303901882,Barangay 882
1303901883,Barangay 883
1303901884,Barangay 884
1303901885,Barangay 885
1303901886,Barangay 886
1303901887,Barangay 887
1303901888,Barangay 888
1303901889,Barangay 889
1303901890,Barangay 890
1303901891,Barangay 891
1303901892,Barangay 892
1303901893,Barangay 893
1303901894,Barangay 894
1303901895,Barangay 895
1303901896,Barangay 896
1303901897,Barangay 897
1303901898,Barangay 898
1303901899,Barangay 899
1303901900,Barangay 900
1303901901,Barangay 901
1303901902,Barangay 902
1303901903,Barangay 903
1303901904,Barangay 904
1303901905,Barangay 905
1303901906,Manila North Cemetery
1303901907,"Tutuban Mall (Claimed by Five Barangays of Tondo, Manila)"
1303901918,Barangay 818-A
1303901922,Barangay 202-A
1303901959,Barangay 659-A
1303901960,Barangay 660-A
1303901963,Barangay 663-A
1303901964,Barangay 664-A
1303901987,Barangay 587-A
